Country,NFCR2012,NFCR2013,NFCR2014,NFCR2015,NFCR2016,NFCR2017,NFCR2018,NFCR2019,NFCR2020,CPI2012,CPI2013,CPI2014,CPI2015,CPI2016,CPI2017,CPI2018,CPI2019,CPI2020,AML2012,AML2013,AML2014,AML2015,AML2016,AML2017,AML2018,AML2019,AML2020,ARR2012,ARR2013,ARR2014,ARR2015,ARR2016,ARR2017,ARR2018,ARR2019,ARR2020,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,WES2012,WES2013,WES2014,WES2015,WES2016,WES2017,WES2018,WES2019,WES2020,GE2012,GE2013,GE2014,GE2015,GE2016,GE2017,GE2018,GE2019,GE2020,PV2012,PV2013,PV2014,PV2015,PV2016,PV2017,PV2018,PV2019,PV2020,RQ2012,RQ2013,RQ2014,RQ2015,RQ2016,RQ2017,RQ2018,RQ2019,RQ2020,RL2012,RL2013,RL2014,RL2015,RL2016,RL2017,RL2018,RL2019,RL2020,VA2012,VA2013,VA2014,VA2015,VA2016,VA2017,VA2018,VA2019,VA2020
Albania,0.26%,0.13%,0.25%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,33,31,33,36,39,38,36,35,36,5.48,5.43,5.54,5.56,5.04,5.75,5.57,6,5.69,3514,3256,3673,4131,4736,5118,5927,6406,2658,4247.63,4413.0609,4578.632,3952.8012,4124.0557,4531.0208,5284.3802,5355.8478,5215.2768,3.7911,4.4839,4.5818,4.2593,3.9851,3.8794,3.9336,4.2397,4.12,-0.2679,-0.3171,-0.0859,0.01,0.013,0.0768,0.0572,-0.0622,-0.1357,-0.1436,0.0919,0.486,0.3461,0.3446,0.3785,0.3705,0.1112,0.0839,0.1992,0.2097,0.222,0.1867,0.189,0.2234,0.2542,0.2739,0.2371,-0.5203,-0.5181,-0.338,-0.3283,-0.329,-0.4043,-0.4034,-0.4111,-0.3583,0.0221,0.0489,0.1438,0.1571,0.1709,0.2038,0.1807,0.1427,0.0873
Algeria,0.36%,0.41%,0.36%,0.41%,-0.05%,-0.10%,-0.05%,-0.10%,-0.05%,34,36,36,36,34,33,35,35,36,5.5,6.6,6.61,6.57,6.5,6.48,6.35,6.28,6.74,2634,2733,2301,1710,2039,2451,2657,2371,591,5592.2201,5499.5873,5493.0567,4177.8869,3946.4524,4109.7034,4153.9562,3975.509,3310.3865,3.3114,3.2022,3.3657,3.4686,3.2684,3.0304,3.8471,3.6729,3.83,-0.5324,-0.5345,-0.478,-0.5011,-0.5313,-0.592,-0.5274,-0.5164,-0.5258,-1.325,-1.2024,-1.1905,-1.0902,-1.0975,-0.9158,-0.8361,-1.0443,-0.8602,-1.2769,-1.166,-1.283,-1.1736,-1.1719,-1.1942,-1.2267,-1.3034,-1.2915,-0.7722,-0.6894,-0.7733,-0.864,-0.8576,-0.8637,-0.741,-0.8157,-0.7803,-0.906,-0.8934,-0.8152,-0.8491,-0.8629,-0.9041,-1.0004,-1.0562,-1.1021
Angola,-0.78%,-0.78%,-0.79%,-0.79%,-0.80%,-0.81%,-0.81%,-0.82%,-0.83%,22,23,19,15,18,19,19,26,27,5.75,6.63,6.66,6.76,6.71,6.55,6.49,6.33,7.02,528,650,595,592,397,261,218,218,64,5100.097,5254.8811,5408.4117,4166.9798,3506.0731,4095.8101,3289.644,2809.6261,1895.7709,2.2364,2.4796,2.1069,1.9106,2.0008,2.5018,2.6397,2.1714,2.42,-0.9897,-1.2236,-1.1242,-1.0003,-1.036,-1.026,-1.045,-1.1175,-1.1818,-0.3893,-0.3912,-0.3332,-0.5009,-0.3159,-0.3804,-0.3357,-0.3585,-0.5207,-0.9698,-1.0542,-0.9885,-0.9092,-1.0014,-1.0422,-0.8777,-0.894,-0.9085,-1.2695,-1.2679,-1.1182,-1.082,-1.0876,-1.1012,-1.0483,-1.0546,-0.9632,-1.0762,-1.1138,-1.1455,-1.1772,-1.1396,-1.0979,-0.9063,-0.7835,-0.8106
Argentina,-0.75%,-0.75%,-0.76%,-0.76%,-0.36%,-0.36%,-0.36%,-0.36%,-0.37%,35,34,34,32,36,39,40,45,42,7.35,7.32,6.71,6.71,6.74,6.69,6.55,6.5,5.08,6497,6510,7165,6816,9986,9964,10394,11131,3096,13082.6643,13080.2547,12334.7982,13789.0604,12790.2425,14613.0418,11633.498,9912.2818,8441.9194,2.2641,2.0131,2.0245,2.3335,2.2274,2.0425,2.1271,2.3153,2.38,-0.2387,-0.2778,-0.1595,-0.0753,0.1619,0.1446,0.0273,-0.087,-0.2169,0.103,0.0653,-0.0051,0.0148,0.2046,0.1695,0.0109,-0.0914,0.0364,-0.9292,-0.9573,-1.0743,-0.9114,-0.4696,-0.2899,-0.2907,-0.4932,-0.5673,-0.6796,-0.7077,-0.8861,-0.7709,-0.3937,-0.2493,-0.2437,-0.4306,-0.4694,0.2952,0.277,0.3453,0.4118,0.4934,0.5286,0.5323,0.574,0.5942
Armenia,0.00%,0.00%,0.00%,0.00%,-0.30%,0.00%,0.00%,0.00%,-0.30%,34,36,37,35,33,35,35,42,49,5.13,4.9,4.86,4.89,4.63,4.44,5.23,5.08,5,963,1084,1204,1192,1260,1495,1652,1894,375,3681.8447,3838.1739,3986.2316,3607.2893,3591.8281,3914.5279,4220.5403,4622.7382,4267.4521,4.3062,3.4705,3.4345,3.9982,3.288,4.0517,4.1567,4.1559,3.75,-0.0424,0.0689,-0.1984,-0.1611,-0.1584,-0.1027,-0.0284,-0.0666,-0.1242,0.1548,0.1104,-0.2971,-0.2523,-0.6623,-0.6208,-0.4449,-0.4134,-0.5713,0.3493,0.2526,0.2134,0.2418,0.2501,0.2805,0.328,0.249,0.25,-0.4179,-0.3443,-0.366,-0.3879,-0.1192,-0.1606,-0.1495,-0.131,-0.0832,-0.5705,-0.588,-0.5621,-0.5363,-0.5793,-0.5608,-0.1379,0.0555,0.0447
Australia,0.54%,0.54%,0.54%,0.54%,0.14%,0.14%,0.14%,0.14%,0.14%,85,81,80,79,79,77,77,77,77,4.37,4.58,5.01,4.94,4.99,4.49,4.06,3.97,3.84,6032,6482,6922,7449,8269,8815,9246,9466,1828,68012.1479,68150.107,62510.7912,56755.7217,49971.1315,54027.9668,57354.964,55057.2047,51812.154,2.5673,2.6758,2.9245,2.8808,2.8896,2.6407,2.8216,2.6732,2.62,1.6213,1.6401,1.6071,1.5642,1.568,1.5382,1.5952,1.5716,1.6192,0.998,1.0311,1.0322,0.885,1.048,0.8961,0.9896,0.9117,0.8488,1.7865,1.8009,1.8637,1.7887,1.897,1.9334,1.9027,1.8737,1.8169,1.7669,1.7785,1.923,1.8251,1.7557,1.6865,1.7154,1.7345,1.6512,1.4992,1.4364,1.3617,1.3556,1.3537,1.3756,1.3806,1.2674,1.3041
Austria,0.08%,0.10%,0.10%,0.08%,0.10%,0.08%,0.10%,0.10%,0.08%,69,69,72,76,75,75,76,77,76,5.74,5.79,5.47,5.45,5.02,5.06,4.34,4.64,4.38,24151,24813,25291,26728,28121,29460,30816,31884,15091,48567.6953,50716.7087,51717.4959,44178.0474,45276.8314,47309.3663,51453.147,50121.5542,48327.6311,4.4764,4.6528,4.6568,4.6332,4.6227,4.4714,4.4261,4.1461,4.28,1.5682,1.5789,1.5592,1.4817,1.5105,1.5072,1.4944,1.5277,1.6551,1.3406,1.3641,1.2707,1.1431,0.9096,1.0468,0.9023,0.9167,0.8519,1.5242,1.4907,1.4877,1.4033,1.4404,1.4402,1.5314,1.4592,1.4014,1.8644,1.8426,1.9429,1.8491,1.8003,1.8424,1.8962,1.9042,1.8104,1.4488,1.4566,1.3913,1.3835,1.3375,1.3859,1.3877,1.3388,1.399
Azerbaijan,0.86%,0.86%,0.85%,0.84%,1.02%,0.92%,1.00%,0.99%,0.98%,27,28,29,29,30,31,25,30,30,6.49,6.48,6.46,4.9,,4.78,4.7,5.31,5.24,2484,2509,2298,2006,2249,2697,2850,3170,796,7496.2946,7875.757,7891.3131,5500.3104,3880.7387,4147.0897,4739.8417,4805.7537,4214.3113,4.0174,4.0633,4.2944,3.3801,3.5939,4.0193,3.7191,3.0164,4.73,-0.7827,-0.4753,-0.3642,-0.2576,-0.1658,-0.1726,-0.1581,-0.1402,-0.1702,-0.7158,-0.4129,-0.5599,-0.7296,-0.8039,-0.7479,-0.7068,-0.6859,-0.7252,-0.4556,-0.4083,-0.2771,-0.2547,-0.282,-0.245,-0.1974,-0.227,-0.3148,-0.8345,-0.7239,-0.6723,-0.6738,-0.52,-0.5575,-0.5875,-0.5772,-0.691,-1.2995,-1.4028,-1.4792,-1.5524,-1.561,-1.5637,-1.5113,-1.5295,-1.5457
Bahamas,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,71,71,71,,66,65,65,64,63,6.37,,6.01,,,,,,6.43,5940,6151,6320,6112,6265,6136,6622,7250,1795,29485.8642,28784.0245,29980.7083,31295.5639,31563.3079,32719.6666,33767.9412,34863.384,28607.9014,0.8844,1.0825,0.96,1.0386,1.4934,1.1003,1.1339,1.0851,1.81,0.9894,0.8726,0.7287,0.7124,0.7192,0.579,0.5373,0.4858,0.4522,1.184,1.1348,0.9565,0.9075,0.9754,0.9896,0.8629,0.8162,0.85,0.395,0.1901,0.172,0.1662,0.2576,0.123,0.1803,-0.0483,0.0138,0.6197,0.6378,0.6653,0.597,0.2603,0.1914,0.0971,0.0765,0.062,0.9346,0.9244,1.0474,0.9515,0.8522,0.8496,0.7649,0.9062,0.9187
Bahrain,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,51,48,49,51,43,36,36,42,42,5.71,5.73,5.57,5.56,5.59,5.8,5.33,5.46,4.41,8062,9163,10452,9670,10158,11374,12045,11061,1909,23654.3696,24744.297,24989.4375,22634.0856,22608.4526,23742.9373,23991.0414,23443.4348,,1.7827,2.0244,2.2262,2.2842,2.2272,1.9435,1.8249,1.7206,2.17,0.5496,0.5888,0.5648,0.5595,0.3276,0.1956,0.1778,0.2985,0.4287,-1.13,-1.3354,-0.9075,-1.0735,-0.7934,-0.9616,-0.8505,-0.6274,-0.5912,0.6894,0.6074,0.7085,0.8197,0.6082,0.4165,0.4166,0.4852,0.6258,0.2583,0.331,0.4136,0.4249,0.4564,0.4492,0.4128,0.4944,0.4914,-1.318,-1.3175,-1.3111,-1.3131,-1.3721,-1.3873,-1.4214,-1.4293,-1.4575
